"";"D. execució";"D. valor";"Concepte";"Import";"Saldo"
"";"12/05/2022";"12/05/2022";"COMPRA TARJETA DEBITO/CREDITO ESCLATOIL PIERA TJ*0011";"-59,92";"2.148,91"
"";"12/05/2022";"12/05/2022";"COMPRA TARJETA DEBITO/CREDITO FARMACIA RIGOL TJ*0011";"-12,88";"2.208,83"
"";"12/05/2022";"12/05/2022";"COMPRA TARJETA DEBITO/CREDITO FARMACIA RIGOL TJ*0011";"-29,06";"2.221,71"
"";"12/05/2022";"12/05/2022";"COMPRA TARJETA DEBITO/CREDITO FARMACIA RIGOL TJ*0011";"-17,64";"2.250,77"
"";"11/05/2022";"11/05/2022";"COMPRA TARJETA DEBITO/CREDITO CONDIS LIFE -CAPELLADES TJ*0011";"-20,56";"2.268,41"
"";"11/05/2022";"09/05/2022";"COMPRA TARJETA DEBITO/CREDITO Strato TJ*5783";"-53,72";"2.288,97"
"";"10/05/2022";"10/05/2022";"COMPRA TARJETA DEBITO/CREDITO GUISSONA T533 TJ*0011";"-2,50";"2.342,69"
"";"10/05/2022";"10/05/2022";"COMPRA TARJETA DEBITO/CREDITO VALLDAURA PNEUMATICS TJ*5783";"-50,00";"2.345,19"
"";"10/05/2022";"10/05/2022";"COMPRA TARJETA DEBITO/CREDITO COFAC VALLDAURA TJ*5783";"-5,35";"2.395,19"
"";"10/05/2022";"10/05/2022";"COMPRA TARJETA DEBITO/CREDITO S.I.M.A. TJ*0011";"-0,35";"2.400,54"
"";"10/05/2022";"10/05/2022";"COMPRA TARJETA DEBITO/CREDITO S.I.M.A. TJ*0011";"-0,35";"2.400,89"
"";"10/05/2022";"10/05/2022";"COMPRA TARJETA DEBITO/CREDITO MERCADONA MERCAT GINEUETA TJ*5783";"-8,30";"2.401,24"
"";"10/05/2022";"10/05/2022";"COMPRA TARJETA DEBITO/CREDITO PIERA TJ*0011";"-24,56";"2.409,54"
"";"09/05/2022";"09/05/2022";"COMPRA TARJETA DEBITO/CREDITO S.I.M.A. TJ*0011";"-1,93";"2.434,10"
"";"09/05/2022";"09/05/2022";"COMPRA TARJETA DEBITO/CREDITO S.I.M.A. TJ*0011";"-2,20";"2.436,03"
"";"09/05/2022";"09/05/2022";"DEVOLUCION TARJETA DEBITO";"0,20";"2.438,23"
"";"09/05/2022";"09/05/2022";"COMPRA TARJETA DEBITO/CREDITO S.I.M.A. TJ*0011";"-1,45";"2.438,03"
"";"09/05/2022";"09/05/2022";"COMPRA TARJETA DEBITO/CREDITO GUISSONA T533 TJ*0011";"-4,11";"2.439,48"
"";"09/05/2022";"09/05/2022";"COMPRA TARJETA DEBITO/CREDITO FARMACIA RIGOL TJ*0011";"-10,58";"2.443,59"
"";"08/05/2022";"08/05/2022";"COMPRA TARJETA DEBITO/CREDITO GUISSONA T533 TJ*0011";"-5,82";"2.454,17"
"";"07/05/2022";"07/05/2022";"COMPRA TARJETA DEBITO/CREDITO CONSUM IGUALADA TJ*5783";"-5,85";"2.459,99"
"";"07/05/2022";"07/05/2022";"COMPRA TARJETA DEBITO/CREDITO RECORD SPORTS TJ*5783";"-132,99";"2.465,84"
"";"06/05/2022";"06/05/2022";"COMPRA TARJETA DEBITO/CREDITO GUISSONA T533 TJ*0011";"-17,26";"2.598,83"
"";"06/05/2022";"06/05/2022";"COMPRA TARJETA DEBITO/CREDITO S.I.M.A. TJ*0011";"-0,55";"2.616,09"
"";"06/05/2022";"06/05/2022";"RECIBO COL.LEGI OFICIAL DE FARMACEUTICS DE BCN";"-37,23";"2.616,64"
