"";"D. execució";"D. valor";"Concepte";"Import";"Saldo"
"";"31/10/2022";"31/10/2022";"COMPRA TARJETA DEBITO/CREDITO ESCLATOIL PIERA TJ*0011";"-60,00";"487,98"
"";"31/10/2022";"31/10/2022";"COMPRA TARJETA DEBITO/CREDITO PIERA TJ*0011";"-31,02";"547,98"
"";"31/10/2022";"27/10/2022";"COMPRA TARJETA DEBITO/CREDITO HYTECK 4319699 TJ*0011";"-59,60";"579,00"
"";"30/10/2022";"30/10/2022";"COMPRA TARJETA DEBITO/CREDITO E.S. LA PANADELLA S.A. TJ*0011";"-25,96";"638,60"
"";"29/10/2022";"29/10/2022";"COMPRA TARJETA DEBITO/CREDITO S.I.M.A. TJ*0011";"-0,75";"664,56"
"";"29/10/2022";"29/10/2022";"COMPRA TARJETA DEBITO/CREDITO 8232 IGUALADA TJ*0011";"-31,00";"665,31"
"";"29/10/2022";"29/10/2022";"COMPRA TARJETA DEBITO/CREDITO HIPERMERCAT ESCLAT H78I TJ*0011";"-75,41";"696,31"
"";"28/10/2022";"28/10/2022";"COMPRA TARJETA DEBITO/CREDITO PIERA TJ*0011";"-21,94";"771,72"
"";"28/10/2022";"28/10/2022";"COMPRA TARJETA DEBITO/CREDITO PIERA TJ*0011";"-18,24";"793,66"
"";"27/10/2022";"27/10/2022";"COMPRA TARJETA DEBITO/CREDITO HIPERMERCAT ESCLAT H78I TJ*5783";"-80,39";"811,90"
"";"27/10/2022";"27/10/2022";"ANULACION TARJETA DEBITO";"17,95";"892,29"
"";"27/10/2022";"27/10/2022";"COMPRA TARJETA DEBITO/CREDITO FARMACIA RIGOL TJ*0011";"-17,95";"874,34"
"";"27/10/2022";"27/10/2022";"COMPRA TARJETA DEBITO/CREDITO FARMACIA RIGOL TJ*0011";"-17,95";"892,29"
"";"26/10/2022";"26/10/2022";"COMPRA TARJETA DEBITO/CREDITO GUISSONA T533 TJ*0011";"-13,24";"910,24"
