"";"D. execució";"D. valor";"Concepte";"Import";"Saldo"
"";"31/01/2022";"31/01/2022";"COMPRA TARJETA DEBITO/CREDITO FARMACIA RIGOL TJ*0011";"-24,35";"2.424,64"
"";"29/01/2022";"29/01/2022";"COMPRA TARJETA DEBITO/CREDITO CASA AMETLLER SL TJ*0011";"-37,50";"2.448,99"
"";"28/01/2022";"28/01/2022";"COMPRA TARJETA DEBITO/CREDITO PIERA TJ*0011";"-23,13";"2.486,49"
"";"27/01/2022";"27/01/2022";"COMPRA TARJETA DEBITO/CREDITO FARMACIA RIGOL TJ*0011";"-10,58";"2.509,62"
"";"25/01/2022";"25/01/2022";"COMPRA TARJETA DEBITO/CREDITO HIPERMERCAT ESCLAT H23P TJ*0011";"-16,11";"2.520,20"
"";"25/01/2022";"25/01/2022";"COMPRA TARJETA DEBITO/CREDITO FARMACIA RIGOL TJ*0011";"-6,15";"2.536,31"
"";"25/01/2022";"25/01/2022";"COMPRA TARJETA DEBITO/CREDITO FARMACIA RIGOL TJ*0011";"-7,20";"2.542,46"
"";"25/01/2022";"25/01/2022";"COMISION TARJETA";"-12,00";"2.549,66"
"";"24/01/2022";"24/01/2022";"COMPRA TARJETA DEBITO/CREDITO CAL PASSANALS TJ*5783";"-7,67";"2.561,66"
"";"24/01/2022";"24/01/2022";"RECIBO PayPal (Europe) S.a.r.l. et Cie., S.C.A.";"-40,00";"2.569,33"
"";"22/01/2022";"22/01/2022";"COMPRA TARJETA DEBITO/CREDITO ROGES SUPERMERCATS TJ*0011";"-10,90";"2.609,33"
"";"22/01/2022";"22/01/2022";"COMPRA TARJETA DEBITO/CREDITO LES CONFECCIONS TJ*0011";"-14,95";"2.620,23"
"";"22/01/2022";"22/01/2022";"COMPRA TARJETA DEBITO/CREDITO LES CONFECCIONS TJ*0011";"-12,50";"2.635,18"
"";"22/01/2022";"22/01/2022";"COMPRA TARJETA DEBITO/CREDITO FES MES SUBMINISTRES BLAN TJ*0011";"-81,75";"2.647,68"
"";"21/01/2022";"21/01/2022";"DEVOLUCION TARJETA DEBITO";"12,49";"2.729,43"
"";"21/01/2022";"21/01/2022";"COMPRA TARJETA DEBITO/CREDITO PIERA TJ*0011";"-53,58";"2.716,94"
"";"19/01/2022";"19/01/2022";"COMPRA TARJETA DEBITO/CREDITO GUISSONA T533 TJ*0011";"-10,10";"2.770,52"
"";"19/01/2022";"19/01/2022";"COMPRA TARJETA DEBITO/CREDITO FARMACIA RIGOL TJ*0011";"-18,68";"2.780,62"
"";"18/01/2022";"18/01/2022";"COMPRA TARJETA DEBITO/CREDITO DRIM IGUALADA TJ*0011";"-7,99";"2.799,30"
"";"18/01/2022";"18/01/2022";"COMPRA TARJETA DEBITO/CREDITO IBERICUS IGUALADA TJ*0011";"-2,95";"2.807,29"
"";"18/01/2022";"18/01/2022";"COMPRA TARJETA DEBITO/CREDITO S.I.M.A. TJ*0011";"-1,10";"2.810,24"
"";"18/01/2022";"18/01/2022";"COMPRA TARJETA DEBITO/CREDITO LES CONFECCIONS TJ*0011";"-23,50";"2.811,34"
"";"18/01/2022";"18/01/2022";"COMPRA TARJETA DEBITO/CREDITO S.I.M.A. TJ*0011";"-0,35";"2.834,84"
"";"18/01/2022";"18/01/2022";"RECIBO PayPal (Europe) S.a.r.l. et Cie., S.C.A.";"-69,78";"2.835,19"
"";"18/01/2022";"18/01/2022";"RECIBO PayPal (Europe) S.a.r.l. et Cie., S.C.A.";"-123,48";"2.904,97"
"";"14/01/2022";"14/01/2022";"RECIBO COL.LEGI OFICIAL DE FARMACEUTICS DE BCN";"-37,23";"3.028,45"
"";"13/01/2022";"13/01/2022";"COMPRA TARJETA DEBITO/CREDITO PIERA TJ*0011";"-43,90";"3.065,68"
"";"13/01/2022";"13/01/2022";"RECIBO SIMYO";"-13,50";"3.109,58"
"";"13/01/2022";"13/01/2022";"RECIBO PayPal (Europe) S.a.r.l. et Cie., S.C.A.";"-16,25";"3.123,08"
"";"13/01/2022";"13/01/2022";"RECIBO SIMYO";"-12,00";"3.139,33"
"";"13/01/2022";"13/01/2022";"RECIBO ANA MARIA POVEDA NAVARRO";"-175,00";"3.151,33"
