"";"D. execució";"D. valor";"Concepte";"Import";"Saldo"
"";"31/07/2022";"31/07/2022";"COMPRA TARJETA DEBITO/CREDITO GUISSONA T533 TJ*0011";"-38,87";"1.915,48"
"";"30/07/2022";"30/07/2022";"COMPRA TARJETA DEBITO/CREDITO FARMACIA RIGOL TJ*0011";"-6,90";"1.954,35"
"";"28/07/2022";"28/07/2022";"COMPRA TARJETA DEBITO/CREDITO MERCADONA MERCAT GINEUETA TJ*5783";"-4,50";"1.961,25"
"";"28/07/2022";"28/07/2022";"COMPRA TARJETA DEBITO/CREDITO FARMACIA RIGOL TJ*0011";"-21,38";"1.965,75"
"";"27/07/2022";"27/07/2022";"COMPRA TARJETA DEBITO/CREDITO FARMACIA RIGOL TJ*0011";"-5,00";"1.987,13"
"";"27/07/2022";"27/07/2022";"COMPRA TARJETA DEBITO/CREDITO FARMACIA RIGOL TJ*0011";"-74,63";"1.992,13"
"";"27/07/2022";"27/07/2022";"COMPRA TARJETA DEBITO/CREDITO FARMACIA RIGOL TJ*0011";"-44,87";"2.066,76"
"";"25/07/2022";"25/07/2022";"COMPRA TARJETA DEBITO/CREDITO S.I.M.A. TJ*0011";"-0,35";"2.111,63"
"";"25/07/2022";"22/07/2022";"COMPRA TARJETA DEBITO/CREDITO PAYPAL *BIKECOMPONE TJ*5783";"-57,81";"2.111,98"
"";"23/07/2022";"23/07/2022";"COMPRA TARJETA DEBITO/CREDITO GUISSONA T533 TJ*0011";"-13,18";"2.169,79"
"";"22/07/2022";"22/07/2022";"COMPRA TARJETA DEBITO/CREDITO ABACUS IGUALADA TJ*0011";"-34,12";"2.182,97"
"";"21/07/2022";"18/07/2022";"COMPRA TARJETA DEBITO/CREDITO PAYPAL *WIKIPEDIA TJ*5783";"-10,40";"2.217,09"
"";"14/07/2022";"14/07/2022";"COMPRA TARJETA DEBITO/CREDITO PEIXETERIA VILA MASSANA TJ*0011";"-15,19";"2.227,49"
"";"14/07/2022";"14/07/2022";"COMPRA TARJETA DEBITO/CREDITO CENTRE OPTIC ANOIA TJ*0011";"-38,00";"2.242,68"
"";"13/07/2022";"13/07/2022";"RECIBO SIMYO";"-10,00";"2.280,68"
"";"13/07/2022";"13/07/2022";"RECIBO SIMYO";"-12,00";"2.290,68"
"";"12/07/2022";"12/07/2022";"COMPRA TARJETA DEBITO/CREDITO ASFALT TJ*0011";"-33,04";"2.302,68"
