"";"D. execució";"D. valor";"Concepte";"Import";"Saldo"
"";"31/03/2021";"31/03/2021";"COMPRA TARJETA DEBITO/CREDITO CONDIS LIFE -CAPELLADES TJ*0011";"-48,66";"1.525,23"
"";"31/03/2021";"31/03/2021";"RECIBO TGSS. COTIZACION 005 R.E.AUTONOMOS";"-2,84";"1.573,89"
"";"31/03/2021";"31/03/2021";"LIQUIDACION AHORRO/CTA COR";"0,00";"1.576,73"
"";"31/03/2021";"31/03/2021";"TRANSF DE FM UNLIMITED MOTORCYCLES,S.L. Nomina Marzo Marti Soler Chiva";"1.292,70";"1.576,73"
"";"30/03/2021";"30/03/2021";"COMPRA TARJETA DEBITO/CREDITO FRUITS SECS ROSET TJ*0011";"-14,95";"284,03"
"";"30/03/2021";"30/03/2021";"COMPRA TARJETA DEBITO/CREDITO HIPERMERCAT ESCLAT H23P TJ*0011";"-14,73";"298,98"
"";"29/03/2021";"26/03/2021";"COMPRA TARJETA DEBITO/CREDITO NOMINALIA COM TJ*5783";"-19,12";"313,71"
"";"27/03/2021";"27/03/2021";"COMPRA TARJETA DEBITO/CREDITO CASA AMETLLER SL TJ*5783";"-22,23";"332,83"
"";"27/03/2021";"27/03/2021";"COMPRA TARJETA DEBITO/CREDITO CONDIS LIFE -CAPELLADES TJ*5783";"-39,17";"355,06"
"";"27/03/2021";"27/03/2021";"COMPRA TARJETA DEBITO/CREDITO DECOR DAVID TJ*0011";"-12,26";"394,23"
"";"27/03/2021";"27/03/2021";"COMPRA TARJETA DEBITO/CREDITO CREU TJ*5783";"-7,00";"406,49"
"";"27/03/2021";"27/03/2021";"COMPRA TARJETA DEBITO/CREDITO LA PANERA DEL PA IGUALADA TJ*5783";"-9,70";"413,49"
"";"26/03/2021";"26/03/2021";"RECIBO PayPal (Europe) S.a.r.l. et Cie., S.C.A.";"-27,45";"423,19"
"";"26/03/2021";"26/03/2021";"RECIBO PayPal (Europe) S.a.r.l. et Cie., S.C.A.";"-27,32";"450,64"
"";"26/03/2021";"26/03/2021";"TRANSF DE DANIEL ORTINEZ MARTI regal";"56,00";"477,96"
"";"22/03/2021";"22/03/2021";"COMPRA TARJETA DEBITO/CREDITO S.I.M.A. TJ*0011";"-0,35";"421,96"
"";"22/03/2021";"20/03/2021";"COMPRA TARJETA DEBITO/CREDITO SHOUTCA.ST* SHOUTCA.ST TJ*5783";"-203,94";"422,31"
"";"20/03/2021";"20/03/2021";"COMPRA TARJETA DEBITO/CREDITO S.I.M.A. TJ*0011";"-0,35";"626,25"
"";"20/03/2021";"20/03/2021";"COMPRA TARJETA DEBITO/CREDITO SUPERMERCADOS SUPER MAS TJ*0011";"-84,40";"626,60"
"";"18/03/2021";"18/03/2021";"COMPRA TARJETA DEBITO/CREDITO HIPERMERCAT ESCLAT H23P TJ*0011";"-55,74";"711,00"
"";"17/03/2021";"17/03/2021";"COMPRA TARJETA DEBITO/CREDITO FARMACIA RIGOL TJ*0011";"-47,15";"766,74"
"";"16/03/2021";"16/03/2021";"COMPRA TARJETA DEBITO/CREDITO S.I.M.A. TJ*0011";"-0,75";"813,89"
"";"16/03/2021";"16/03/2021";"COMPRA TARJETA DEBITO/CREDITO HIPER ASIATO 8 TJ*0011";"-18,13";"814,64"
