"";"D. execució";"D. valor";"Concepte";"Import";"Saldo"
"";"30/09/2021";"30/09/2021";"LIQUIDACION AHORRO/CTA COR";"0,00";"431,16"
"";"29/09/2021";"29/09/2021";"COMPRA TARJETA DEBITO/CREDITO HIPER JUNBO TJ*0011";"-8,48";"431,16"
"";"28/09/2021";"28/09/2021";"COMPRA TARJETA DEBITO/CREDITO MES MERCAT SL TJ*0011";"-21,58";"439,64"
"";"28/09/2021";"28/09/2021";"COMPRA TARJETA DEBITO/CREDITO DRIM IGUALADA FARO TJ*0011";"-25,00";"461,22"
"";"28/09/2021";"28/09/2021";"COMPRA TARJETA DEBITO/CREDITO S.I.M.A. TJ*0011";"-0,35";"486,22"
"";"27/09/2021";"27/09/2021";"COMPRA TARJETA DEBITO/CREDITO 9 ABA CICLES TJ*5783";"-33,96";"486,57"
"";"25/09/2021";"25/09/2021";"COMPRA TARJETA DEBITO/CREDITO MES MERCAT SL TJ*0011";"-8,26";"520,53"
"";"24/09/2021";"24/09/2021";"COMPRA TARJETA DEBITO/CREDITO FARMACIA RIGOL TJ*0011";"-15,11";"528,79"
"";"24/09/2021";"24/09/2021";"COMPRA TARJETA DEBITO/CREDITO FARMACIA RIGOL TJ*0011";"-95,63";"543,90"
"";"24/09/2021";"24/09/2021";"COMPRA TARJETA DEBITO/CREDITO FARMACIA RIGOL TJ*0011";"-5,89";"639,53"
"";"23/09/2021";"23/09/2021";"COMPRA TARJETA DEBITO/CREDITO PEIXETERIA VILA MASSANA TJ*0011";"-11,14";"645,42"
"";"23/09/2021";"23/09/2021";"COMPRA TARJETA DEBITO/CREDITO S.I.M.A. TJ*0011";"-0,70";"656,56"
"";"23/09/2021";"23/09/2021";"COMPRA TARJETA DEBITO/CREDITO S.I.M.A. TJ*0011";"-1,00";"657,26"
"";"22/09/2021";"22/09/2021";"COMPRA TARJETA DEBITO/CREDITO PIERA TJ*0011";"-22,82";"658,26"
"";"21/09/2021";"21/09/2021";"COMPRA TARJETA DEBITO/CREDITO S.I.M.A. TJ*0011";"-0,35";"681,08"
"";"21/09/2021";"21/09/2021";"COMPRA TARJETA DEBITO/CREDITO LA BONA ESPARDENYA TJ*0011";"-21,50";"681,43"
"";"21/09/2021";"21/09/2021";"COMPRA TARJETA DEBITO/CREDITO S.I.M.A. TJ*0011";"-2,12";"702,93"
"";"19/09/2021";"19/09/2021";"COMPRA TARJETA DEBITO/CREDITO GPV RODA DE BARA TJ*0011";"-9,22";"705,05"
"";"17/09/2021";"17/09/2021";"COMPRA TARJETA DEBITO/CREDITO S.I.M.A. TJ*0011";"-0,35";"714,27"
"";"17/09/2021";"17/09/2021";"COMPRA TARJETA DEBITO/CREDITO SUPERMERCADOS SUPER MAS TJ*0011";"-54,26";"714,62"
"";"17/09/2021";"17/09/2021";"COMPRA TARJETA DEBITO/CREDITO S.I.M.A. TJ*0011";"-1,45";"768,88"
"";"14/09/2021";"14/09/2021";"RECIBO SIMYO";"-12,00";"770,33"
"";"14/09/2021";"14/09/2021";"RECIBO SIMYO";"-10,00";"782,33"
"";"13/09/2021";"13/09/2021";"COMPRA TARJETA DEBITO/CREDITO BUREAU ANOIA SL TJ*0011";"-7,15";"792,33"
"";"13/09/2021";"13/09/2021";"COMPRA TARJETA DEBITO/CREDITO PIERA TJ*0011";"-17,90";"799,48"
"";"10/09/2021";"10/09/2021";"COMPRA TARJETA DEBITO/CREDITO BOTIGA BUFF TJ*0011";"-17,47";"817,38"
"";"10/09/2021";"10/09/2021";"COMPRA TARJETA DEBITO/CREDITO SUPERMERCADOS SUPER MAS TJ*0011";"-65,06";"834,85"
"";"10/09/2021";"10/09/2021";"RECIBO COL.LEGI OFICIAL DE FARMACEUTICS DE BCN";"-37,23";"899,91"
"";"10/09/2021";"10/09/2021";"COMPRA TARJETA DEBITO/CREDITO ESCLATOIL PIERA TJ*0011";"-50,00";"937,14"
"";"09/09/2021";"09/09/2021";"COMPRA TARJETA DEBITO/CREDITO FARMACIA RIGOL TJ*0011";"-37,50";"987,14"
"";"09/09/2021";"09/09/2021";"COMPRA TARJETA DEBITO/CREDITO FARMACIA RIGOL TJ*0011";"-11,70";"1.024,64"
"";"08/09/2021";"08/09/2021";"COMPRA TARJETA DEBITO/CREDITO MES MERCAT SL TJ*0011";"-20,23";"1.036,34"
"";"07/09/2021";"07/09/2021";"RECIBO ORANGE ESPAGNE S.A.";"-10,78";"1.056,57"
"";"06/09/2021";"06/09/2021";"COMPRA TARJETA DEBITO/CREDITO S.I.M.A. TJ*0011";"-1,50";"1.067,35"
"";"06/09/2021";"06/09/2021";"RECIBO IGUANA COMUNICACIONS S.L.";"-33,90";"1.068,85"
"";"03/09/2021";"03/09/2021";"COMPRA TARJETA DEBITO/CREDITO CASA AMETLLER SL TJ*0011";"-19,58";"1.102,75"
"";"03/09/2021";"03/09/2021";"COMPRA TARJETA DEBITO/CREDITO CONDIS LIFE -CAPELLADES TJ*5783";"-47,58";"1.122,33"
"";"03/09/2021";"03/09/2021";"RECIBO MINYONS ESCOLTES GUIES SANT JORDI DE CAT";"-80,00";"1.169,91"
"";"02/09/2021";"02/09/2021";"COMPRA TARJETA DEBITO/CREDITO FULL EQUIP SPORTS SCP TJ*5783";"-28,00";"1.249,91"
"";"02/09/2021";"02/09/2021";"COMPRA TARJETA DEBITO/CREDITO CAL FONT TJ*0011";"-18,94";"1.277,91"
