"";"D. execució";"D. valor";"Concepte";"Import";"Saldo"
"";"06/12/2021";"06/12/2021";"COMPRA TARJETA DEBITO/CREDITO PROXIMA TJ*5783";"-6,09";"2.748,14"
"";"06/12/2021";"06/12/2021";"RECIBO ANA MARIA POVEDA NAVARRO";"-200,00";"2.754,23"
"";"04/12/2021";"04/12/2021";"COMPRA TARJETA DEBITO/CREDITO BEAUTY BY DIA IGUALADA 60 TJ*0011";"-1,38";"2.954,23"
"";"04/12/2021";"04/12/2021";"COMPRA TARJETA DEBITO/CREDITO CAL FONT TJ*0011";"-12,20";"2.955,61"
"";"04/12/2021";"04/12/2021";"COMPRA TARJETA DEBITO/CREDITO SUPERMERCADOS SUPER MAS TJ*0011";"-142,97";"2.967,81"
"";"04/12/2021";"04/12/2021";"COMPRA TARJETA DEBITO/CREDITO ESCLATOIL PIERA TJ*0011";"-50,00";"3.110,78"
"";"03/12/2021";"03/12/2021";"COMPRA TARJETA DEBITO/CREDITO BEAUTY BY DIA IGUALADA 60 TJ*0011";"-6,60";"3.160,78"
"";"03/12/2021";"03/12/2021";"COMPRA TARJETA DEBITO/CREDITO ABACUS IGUALADA TJ*0011";"-4,10";"3.167,38"
"";"03/12/2021";"03/12/2021";"COMPRA TARJETA DEBITO/CREDITO PIERA TJ*0011";"-9,54";"3.171,48"
"";"03/12/2021";"03/12/2021";"RECIBO PIJUAN";"-38,00";"3.181,02"
"";"01/12/2021";"01/12/2021";"COMPRA TARJETA DEBITO/CREDITO S.I.M.A. TJ*0011";"-0,35";"3.219,02"
"";"01/12/2021";"01/12/2021";"COMPRA TARJETA DEBITO/CREDITO S.I.M.A. TJ*0011";"-0,60";"3.219,37"
"";"01/12/2021";"01/12/2021";"COMPRA TARJETA DEBITO/CREDITO LO NECESITO SL TJ*0011";"-14,50";"3.219,97"
"";"01/12/2021";"01/12/2021";"TRANSFERENCIA IGRID S.L. ABONO NOMINA 11/2021";"1.811,26";"3.234,47"
"";"30/11/2021";"30/11/2021";"COMPRA TARJETA DEBITO/CREDITO S.I.M.A. TJ*0011";"-0,35";"1.423,21"
"";"30/11/2021";"30/11/2021";"COMPRA TARJETA DEBITO/CREDITO S.I.M.A. TJ*0011";"-0,35";"1.423,56"
"";"30/11/2021";"30/11/2021";"COMPRA TARJETA DEBITO/CREDITO S.I.M.A. TJ*0011";"-0,70";"1.423,91"
"";"30/11/2021";"30/11/2021";"COMPRA TARJETA DEBITO/CREDITO S.I.M.A. TJ*0011";"-0,35";"1.424,61"
"";"30/11/2021";"30/11/2021";"COMPRA TARJETA DEBITO/CREDITO S.I.M.A. TJ*0011";"-0,35";"1.424,96"
"";"30/11/2021";"30/11/2021";"COMPRA TARJETA DEBITO/CREDITO HIPERMERCAT ESCLAT H23P TJ*0011";"-12,31";"1.425,31"
"";"26/11/2021";"26/11/2021";"RECIBO MINYONS ESCOLTES GUIES SANT JORDI DE CAT";"-160,00";"1.437,62"
"";"25/11/2021";"25/11/2021";"COMPRA TARJETA DEBITO/CREDITO GUISSONA T533 TJ*0011";"-17,25";"1.597,62"
