"";"D. execució";"D. valor";"Concepte";"Import";"Saldo"
"";"30/09/2022";"30/09/2022";"COMPRA TARJETA DEBITO/CREDITO IKEA HOSPITALET HFB TJ*0011";"-397,00";"1.698,61"
"";"30/09/2022";"30/09/2022";"COMPRA TARJETA DEBITO/CREDITO IKEA HOSPITALET FOOD TJ*0011";"-11,45";"2.095,61"
"";"30/09/2022";"30/09/2022";"COMPRA TARJETA DEBITO/CREDITO S.I.M.A. TJ*0011";"-0,35";"2.107,06"
"";"30/09/2022";"30/09/2022";"COMPRA TARJETA DEBITO/CREDITO S.I.M.A. TJ*0011";"-0,35";"2.107,41"
"";"30/09/2022";"30/09/2022";"LIQUIDACION AHORRO/CTA COR";"0,00";"2.107,76"
"";"29/09/2022";"29/09/2022";"COMPRA TARJETA DEBITO/CREDITO FARMACIA RIGOL TJ*0011";"-9,40";"2.107,76"
"";"28/09/2022";"28/09/2022";"COMPRA TARJETA DEBITO/CREDITO HIPERMERCAT ESCLAT H23P TJ*0011";"-11,82";"2.117,16"
"";"28/09/2022";"28/09/2022";"COMPRA TARJETA DEBITO/CREDITO PIERA TJ*0011";"-45,68";"2.128,98"
"";"28/09/2022";"26/09/2022";"COMPRA TARJETA DEBITO/CREDITO Amazon.es*NP60W0ZC5 TJ*0011";"-179,80";"2.174,66"
"";"27/09/2022";"27/09/2022";"COMPRA TARJETA DEBITO/CREDITO S.I.M.A. TJ*0011";"-0,35";"2.354,46"
"";"27/09/2022";"27/09/2022";"COMPRA TARJETA DEBITO/CREDITO MERCADONA MERCAT GINEUETA TJ*5783";"-4,78";"2.354,81"
"";"27/09/2022";"27/09/2022";"RECIBO PayPal (Europe) S.a r.l. et Cie, S.C.A.";"-42,97";"2.359,59"
"";"27/09/2022";"27/09/2022";"RECIBO PayPal (Europe) S.a r.l. et Cie, S.C.A.";"-65,99";"2.402,56"
"";"26/09/2022";"26/09/2022";"COMPRA TARJETA DEBITO/CREDITO SUPERMERCADOS SUPER MAS TJ*5783";"-52,03";"2.468,55"
"";"26/09/2022";"26/09/2022";"COMPRA TARJETA DEBITO/CREDITO CAL PASSANALS TJ*5783";"-26,88";"2.520,58"
"";"26/09/2022";"26/09/2022";"COMPRA TARJETA DEBITO/CREDITO CREU TJ*5783";"-4,75";"2.547,46"
"";"26/09/2022";"23/09/2022";"DEVOLUCION TARJETA DEBITO";"49,90";"2.552,21"
"";"26/09/2022";"23/09/2022";"COMPRA TARJETA DEBITO/CREDITO Amazon Prime*XX32D8XC5 TJ*0011";"-4,99";"2.502,31"
"";"24/09/2022";"24/09/2022";"COMPRA TARJETA DEBITO/CREDITO REY DONER KEBAB TJ*5783";"-18,00";"2.507,30"
"";"23/09/2022";"23/09/2022";"COMPRA TARJETA DEBITO/CREDITO MES MERCAT SL TJ*0011";"-8,45";"2.525,30"
"";"23/09/2022";"21/09/2022";"COMPRA TARJETA DEBITO/CREDITO Amazon Prime*1M9KV0UV5 TJ*0011";"-49,90";"2.533,75"
"";"22/09/2022";"23/09/2022";"TRANSF PARA marta marta";"-2,00";"2.583,65"
"";"22/09/2022";"22/09/2022";"COMPRA TARJETA DEBITO/CREDITO CONDIS LIFE -CAPELLADES TJ*0011";"-13,78";"2.585,65"
"";"22/09/2022";"22/09/2022";"COMPRA TARJETA DEBITO/CREDITO BON AREA TJ*0011";"-60,00";"2.599,43"
"";"22/09/2022";"22/09/2022";"COMPRA TARJETA DEBITO/CREDITO MERCADONA MERCAT GINEUETA TJ*5783";"-4,50";"2.659,43"
"";"22/09/2022";"22/09/2022";"COMPRA TARJETA DEBITO/CREDITO PIERA TJ*0011";"-12,96";"2.663,93"
"";"20/09/2022";"20/09/2022";"COMPRA TARJETA DEBITO/CREDITO S.I.M.A. TJ*0011";"-0,35";"2.676,89"
"";"20/09/2022";"20/09/2022";"COMPRA TARJETA DEBITO/CREDITO PIERA TJ*0011";"-46,37";"2.677,24"
"";"20/09/2022";"20/09/2022";"COMPRA TARJETA DEBITO/CREDITO MERCADONA MERCAT GINEUETA TJ*5783";"-3,00";"2.723,61"
"";"20/09/2022";"20/09/2022";"RECIBO PayPal (Europe) S.a r.l. et Cie, S.C.A.";"-107,28";"2.726,61"
"";"20/09/2022";"19/09/2022";"TRANSF DE MARTA PARDOS MAS";"0,24";"2.833,89"
"";"19/09/2022";"19/09/2022";"COMPRA TARJETA DEBITO/CREDITO CREU TJ*5783";"-8,20";"2.833,65"
