"";"D. execució";"D. valor";"Concepte";"Import";"Saldo"
"";"30/11/2021";"30/11/2021";"COMPRA TARJETA DEBITO/CREDITO S.I.M.A. TJ*0011";"-0,35";"1.423,21"
"";"30/11/2021";"30/11/2021";"COMPRA TARJETA DEBITO/CREDITO S.I.M.A. TJ*0011";"-0,35";"1.423,56"
"";"30/11/2021";"30/11/2021";"COMPRA TARJETA DEBITO/CREDITO S.I.M.A. TJ*0011";"-0,70";"1.423,91"
"";"30/11/2021";"30/11/2021";"COMPRA TARJETA DEBITO/CREDITO S.I.M.A. TJ*0011";"-0,35";"1.424,61"
"";"30/11/2021";"30/11/2021";"COMPRA TARJETA DEBITO/CREDITO S.I.M.A. TJ*0011";"-0,35";"1.424,96"
"";"30/11/2021";"30/11/2021";"COMPRA TARJETA DEBITO/CREDITO HIPERMERCAT ESCLAT H23P TJ*0011";"-12,31";"1.425,31"
"";"26/11/2021";"26/11/2021";"RECIBO MINYONS ESCOLTES GUIES SANT JORDI DE CAT";"-160,00";"1.437,62"
"";"25/11/2021";"25/11/2021";"COMPRA TARJETA DEBITO/CREDITO GUISSONA T533 TJ*0011";"-17,25";"1.597,62"
"";"23/11/2021";"23/11/2021";"COMPRA TARJETA DEBITO/CREDITO S.I.M.A. TJ*0011";"-0,50";"1.614,87"
"";"23/11/2021";"23/11/2021";"TRANSF PARA Astrid Formacio Marta Pardos i Mas";"-75,00";"1.615,37"
"";"22/11/2021";"22/11/2021";"COMPRA TARJETA DEBITO/CREDITO PIERA TJ*0011";"-16,75";"1.690,37"
"";"20/11/2021";"20/11/2021";"COMPRA TARJETA DEBITO/CREDITO ELS FOGONS DE L ANOIA TJ*0011";"-10,50";"1.707,12"
"";"20/11/2021";"20/11/2021";"RENOVACION PLAZO";"-3.000,00";"1.717,62"
"";"20/11/2021";"20/11/2021";"CANCELACION PLAZO";"3.000,00";"4.717,62"
"";"20/11/2021";"20/11/2021";"LIQUIDACION PLAZO";"1,21";"1.717,62"
"";"19/11/2021";"19/11/2021";"COMPRA TARJETA DEBITO/CREDITO FARMACIA RIGOL TJ*0011";"-28,91";"1.716,41"
"";"19/11/2021";"19/11/2021";"COMPRA TARJETA DEBITO/CREDITO S.I.M.A. TJ*0011";"-0,45";"1.745,32"
"";"19/11/2021";"19/11/2021";"COMPRA TARJETA DEBITO/CREDITO S.I.M.A. TJ*0011";"-0,80";"1.745,77"
"";"19/11/2021";"19/11/2021";"COMPRA TARJETA DEBITO/CREDITO SUPERMERCADOS SUPER MAS TJ*0011";"-77,49";"1.746,57"
"";"19/11/2021";"19/11/2021";"COMPRA TARJETA DEBITO/CREDITO PINTURES PLANELL TJ*0011";"-49,90";"1.824,06"
"";"18/11/2021";"18/11/2021";"COMPRA TARJETA DEBITO/CREDITO FARMACIA RIGOL TJ*0011";"-35,10";"1.873,96"
"";"17/11/2021";"17/11/2021";"COMPRA TARJETA DEBITO/CREDITO FARMACIA RIGOL TJ*0011";"-93,66";"1.909,06"
"";"16/11/2021";"16/11/2021";"COMPRA TARJETA DEBITO/CREDITO S.I.M.A. TJ*0011";"-1,25";"2.002,72"
"";"16/11/2021";"16/11/2021";"COMPRA TARJETA DEBITO/CREDITO ESCLATOIL PIERA TJ*0011";"-50,00";"2.003,97"
"";"15/11/2021";"15/11/2021";"COMPRA TARJETA DEBITO/CREDITO LA PANERA DEL PA IGUALADA TJ*0011";"-13,04";"2.053,97"
"";"15/11/2021";"15/11/2021";"COMPRA TARJETA DEBITO/CREDITO TRES UNCES TJ*0011";"-11,19";"2.067,01"
"";"15/11/2021";"15/11/2021";"COMPRA TARJETA DEBITO/CREDITO S.I.M.A. TJ*0011";"-0,35";"2.078,20"
"";"15/11/2021";"15/11/2021";"RECIBO SIMYO";"-12,55";"2.078,55"
"";"15/11/2021";"15/11/2021";"RECIBO SIMYO";"-13,50";"2.091,10"
"";"13/11/2021";"13/11/2021";"COMPRA TARJETA DEBITO/CREDITO CASA AMETLLER SL TJ*0011";"-21,31";"2.104,60"
"";"13/11/2021";"13/11/2021";"COMPRA TARJETA DEBITO/CREDITO HIPER ASIATICO 2012 S.L. TJ*0011";"-7,86";"2.125,91"
"";"12/11/2021";"12/11/2021";"COMPRA TARJETA DEBITO/CREDITO HIPERMERCAT ESCLAT H23P TJ*0011";"-15,50";"2.133,77"
"";"12/11/2021";"12/11/2021";"COMPRA TARJETA DEBITO/CREDITO FARMACIA RIGOL TJ*0011";"-17,26";"2.149,27"
"";"10/11/2021";"10/11/2021";"COMPRA TARJETA DEBITO/CREDITO PIERA TJ*0011";"-28,94";"2.166,53"
"";"10/11/2021";"10/11/2021";"COMPRA TARJETA DEBITO/CREDITO FARMACIA RIGOL TJ*0011";"-52,90";"2.195,47"
"";"09/11/2021";"09/11/2021";"COMPRA TARJETA DEBITO/CREDITO SIMYO TJ*5783";"-7,00";"2.248,37"
"";"09/11/2021";"09/11/2021";"COMPRA TARJETA DEBITO/CREDITO S.I.M.A. TJ*0011";"-1,00";"2.255,37"
"";"09/11/2021";"09/11/2021";"COMPRA TARJETA DEBITO/CREDITO LA PANERA DEL PA IGUALADA TJ*0011";"-6,35";"2.256,37"
"";"08/11/2021";"08/11/2021";"COMPRA TARJETA DEBITO/CREDITO GUISSONA T533 TJ*0011";"-32,82";"2.262,72"
"";"08/11/2021";"08/11/2021";"COMPRA TARJETA DEBITO/CREDITO ESCLATOIL PIERA TJ*0011";"-50,00";"2.295,54"
"";"07/11/2021";"07/11/2021";"COMPRA TARJETA DEBITO/CREDITO PASTISSERIA FIDEL SERRA S TJ*5783";"-5,10";"2.345,54"
"";"06/11/2021";"06/11/2021";"COMPRA TARJETA DEBITO/CREDITO ROGES SUPERMERCATS TJ*0011";"-5,23";"2.350,64"
"";"06/11/2021";"06/11/2021";"COMPRA TARJETA DEBITO/CREDITO BEAUTY BY DIA IGUALADA 60 TJ*0011";"-10,73";"2.355,87"
"";"06/11/2021";"06/11/2021";"COMPRA TARJETA DEBITO/CREDITO S.I.M.A. TJ*0011";"-0,35";"2.366,60"
"";"06/11/2021";"06/11/2021";"COMPRA TARJETA DEBITO/CREDITO FARMACIA RIGOL TJ*0011";"-4,72";"2.366,95"
"";"05/11/2021";"05/11/2021";"COMPRA TARJETA DEBITO/CREDITO CONDIS LIFE -CAPELLADES TJ*0011";"-37,92";"2.371,67"
"";"05/11/2021";"05/11/2021";"RECIBO IGUANA COMUNICACIONS S.L.";"-33,90";"2.409,59"
"";"05/11/2021";"05/11/2021";"RECIBO ORANGE ESPAGNE S.A.";"-29,95";"2.443,49"
"";"05/11/2021";"05/11/2021";"RECIBO COL.LEGI OFICIAL DE FARMACEUTICS DE BCN";"-37,23";"2.473,44"
"";"05/11/2021";"05/11/2021";"RECIBO ANA MARIA POVEDA NAVARRO";"-175,00";"2.510,67"
"";"04/11/2021";"04/11/2021";"COMPRA TARJETA DEBITO/CREDITO FARMACIA RIGOL TJ*0011";"-6,20";"2.685,67"
"";"02/11/2021";"02/11/2021";"COMPRA TARJETA DEBITO/CREDITO S.I.M.A. TJ*0011";"-1,30";"2.691,87"
"";"02/11/2021";"02/11/2021";"RECIBO PIJUAN";"-38,00";"2.693,17"
"";"02/11/2021";"02/11/2021";"TRANSFERENCIA IGRID S.L. ABONO NOMINA 10/2021";"1.811,26";"2.731,17"
