"";"D. execució";"D. valor";"Concepte";"Import";"Saldo"
"";"27/02/2021";"27/02/2021";"COMPRA TARJETA DEBITO/CREDITO S.I.M.A. TJ*0011";"-0,60";"1.438,98"
"";"27/02/2021";"27/02/2021";"COMPRA TARJETA DEBITO/CREDITO ESTACIO SERVEI ROBERT TJ*0011";"-30,00";"1.439,58"
"";"26/02/2021";"26/02/2021";"COMPRA TARJETA DEBITO/CREDITO CONDIS LIFE -CAPELLADES TJ*0011";"-8,13";"1.469,58"
"";"26/02/2021";"26/02/2021";"RECIBO TGSS. COTIZACION 005 R.E.AUTONOMOS";"-1,42";"1.477,71"
"";"26/02/2021";"26/02/2021";"RECIBO TGSS. COTIZACION 005 R.E.AUTONOMOS";"-2,84";"1.479,13"
"";"26/02/2021";"26/02/2021";"TRANSF DE FM UNLIMITED MOTORCYCLES,S.L. Nomina Febrero Marti Soler Chi";"1.292,70";"1.481,97"
"";"24/02/2021";"24/02/2021";"COMPRA TARJETA DEBITO/CREDITO CAL PASSANALS TJ*0011";"-33,80";"189,27"
"";"24/02/2021";"24/02/2021";"COMPRA TARJETA DEBITO/CREDITO ASFALT TJ*0011";"-124,96";"223,07"
"";"24/02/2021";"24/02/2021";"COMPRA TARJETA DEBITO/CREDITO S.I.M.A. TJ*0011";"-0,35";"348,03"
"";"23/02/2021";"23/02/2021";"COMPRA TARJETA DEBITO/CREDITO HIPERMERCAT ESCLAT H23P TJ*0011";"-25,11";"348,38"
"";"22/02/2021";"22/02/2021";"COMPRA TARJETA DEBITO/CREDITO FARMACIA RIGOL TJ*0011";"-6,18";"373,49"
"";"20/02/2021";"20/02/2021";"COMPRA TARJETA DEBITO/CREDITO CONDIS LIFE -CAPELLADES TJ*0011";"-16,00";"379,67"
"";"20/02/2021";"20/02/2021";"COMPRA TARJETA DEBITO/CREDITO PIERA TJ*0011";"-35,34";"395,67"
"";"20/02/2021";"20/02/2021";"COMPRA TARJETA DEBITO/CREDITO FARMACIA RIGOL TJ*0011";"-18,05";"431,01"
"";"16/02/2021";"16/02/2021";"COMPRA TARJETA DEBITO/CREDITO S.I.M.A. TJ*0011";"-0,75";"449,06"
"";"15/02/2021";"12/02/2021";"COMPRA TARJETA DEBITO/CREDITO AROMA-ZONE.COM TJ*0011";"-113,75";"449,81"
"";"15/02/2021";"12/02/2021";"COMPRA TARJETA DEBITO/CREDITO ATENEUCINEMA.CAT TJ*0011";"-9,00";"563,56"
"";"13/02/2021";"13/02/2021";"COMPRA TARJETA DEBITO/CREDITO PIERA TJ*0011";"-68,82";"572,56"
"";"11/02/2021";"11/02/2021";"COMPRA TARJETA DEBITO/CREDITO FARMACIA RIGOL TJ*0011";"-79,85";"641,38"
"";"11/02/2021";"11/02/2021";"RECIBO SIMYO";"-10,00";"721,23"
"";"11/02/2021";"11/02/2021";"RECIBO SIMYO";"-9,58";"731,23"
"";"11/02/2021";"11/02/2021";"COMPRA TARJETA DEBITO/CREDITO TALLERS PIERA SCP TJ*0011";"-157,15";"740,81"
"";"09/02/2021";"09/02/2021";"COMPRA TARJETA DEBITO/CREDITO S.I.M.A. TJ*0011";"-1,15";"897,96"
"";"09/02/2021";"09/02/2021";"RECIBO PayPal (Europe) S.a.r.l. et Cie., S.C.A.";"-92,98";"899,11"
"";"08/02/2021";"08/02/2021";"COMPRA TARJETA DEBITO/CREDITO S.I.M.A. TJ*0011";"-1,65";"992,09"
"";"06/02/2021";"06/02/2021";"COMPRA TARJETA DEBITO/CREDITO SUPERMERCADOS SUPER MAS TJ*0011";"-106,80";"993,74"
"";"05/02/2021";"05/02/2021";"RECIBO COL.LEGI OFICIAL DE FARMACEUTICS DE BCN";"-37,03";"1.100,54"
"";"05/02/2021";"05/02/2021";"RECIBO ORANGE ESPAGNE S.A.";"-29,95";"1.137,57"
"";"03/02/2021";"03/02/2021";"COMPRA TARJETA DEBITO/CREDITO S.I.M.A. TJ*0011";"-0,35";"1.167,52"
"";"03/02/2021";"03/02/2021";"COMPRA TARJETA DEBITO/CREDITO S.I.M.A. TJ*0011";"-2,12";"1.167,87"
"";"03/02/2021";"03/02/2021";"COMPRA TARJETA DEBITO/CREDITO S.I.M.A. TJ*0011";"-0,55";"1.169,99"
"";"02/02/2021";"02/02/2021";"COMPRA TARJETA DEBITO/CREDITO HIPERMERCAT ESCLAT H23P TJ*0011";"-121,48";"1.170,54"
